application_id,resume_skills,jd_skills
a0000,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0001,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0002,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0003,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0004,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'machine learning', 'python', 'javascript']"
a0005,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0006,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'javascript']"
a0007,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['python', 'javascript']"
a0008,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'python', 'javascript']"
a0009,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0010,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0011,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'python', 'sql', 'javascript']"
a0012,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0013,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['python', 'javascript']"
a0014,"['statistics', 'machine learning', 'python', 'sql']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0015,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'sql', 'javascript']"
a0016,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python']"
a0017,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0018,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'sql']"
a0019,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python', 'sql', 'javascript']"
a0020,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0021,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python', 'sql']"
a0022,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'python', 'javascript']"
a0023,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0024,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0025,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0026,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'sql']"
a0027,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0028,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0029,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0030,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0031,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0032,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0033,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0034,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0035,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0036,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0037,"['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0038,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'python', 'javascript']"
a0039,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'javascript']"
a0040,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0041,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'machine learning', 'python', 'javascript']"
a0042,"['statistics', 'data structures', 'machine learning', 'python', 'javascript']","['data structures', 'machine learning', 'sql', 'javascript']"
a0043,"['data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0044,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0045,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0046,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'python', 'sql', 'javascript']"
a0047,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'machine learning', 'python', 'javascript']"
a0048,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0049,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0050,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0051,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0052,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'python', 'javascript']"
a0053,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0054,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0055,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0056,"['data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0057,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0058,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'python', 'javascript']"
a0059,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0060,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'python', 'sql']"
a0061,"['statistics', 'data structures', 'machine learning', 'python', 'javascript']","['ai', 'data structures', 'machine learning', 'sql']"
a0062,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0063,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0064,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'python', 'sql', 'javascript']"
a0065,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'javascript']"
a0066,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0067,"['statistics', 'data structures', 'machine learning', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0068,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0069,"['statistics', 'data structures', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0070,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'python', 'sql', 'javascript']"
a0071,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0072,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python']"
a0073,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0074,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0075,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0076,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python', 'sql']"
a0077,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0078,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'javascript']"
a0079,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0080,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0081,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0082,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0083,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0084,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0085,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0086,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['python', 'javascript']"
a0087,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0088,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0089,"['statistics', 'data structures', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0090,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'javascript']"
a0091,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'python', 'javascript']"
a0092,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python', 'sql', 'javascript']"
a0093,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0094,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'python', 'sql']"
a0095,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0096,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0097,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python', 'sql', 'javascript']"
a0098,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'python', 'javascript']"
a0099,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0100,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'sql']"
a0101,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0102,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'python', 'javascript']"
a0103,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['python', 'javascript']"
a0104,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'sql', 'javascript']"
a0105,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0106,"['statistics', 'data structures', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0107,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0108,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0109,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0110,"['statistics', 'machine learning', 'python', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0111,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'sql']"
a0112,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0113,"['statistics', 'data structures', 'machine learning', 'python', 'javascript']","['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0114,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0115,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0116,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0117,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python']"
a0118,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0119,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0120,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'sql']"
a0121,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'python', 'sql']"
a0122,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python', 'sql', 'javascript']"
a0123,"['statistics', 'data structures', 'machine learning', 'python', 'sql']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0124,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0125,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0126,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0127,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0128,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'sql', 'javascript']"
a0129,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['python', 'javascript']"
a0130,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'sql']"
a0131,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0132,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'sql']"
a0133,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'python', 'sql']"
a0134,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0135,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0136,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0137,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0138,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0139,"['statistics', 'data structures', 'machine learning', 'python', 'javascript']","['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0140,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0141,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'python', 'sql', 'javascript']"
a0142,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'machine learning', 'python', 'javascript']"
a0143,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['data structures', 'machine learning', 'sql', 'javascript']"
a0144,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0145,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql']"
a0146,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0147,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0148,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'python', 'sql']"
a0149,"['statistics', 'data structures', 'machine learning', 'python', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0150,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0151,"['statistics', 'data structures', 'machine learning', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0152,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['cloud', 'machine learning', 'python', 'javascript']"
a0153,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0154,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'data structures', 'sql']"
a0155,"['statistics', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0156,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0157,"['statistics', 'data structures', 'machine learning', 'python', 'javascript']","['backend', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0158,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']"
a0159,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0160,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['backend', 'statistics', 'data structures', 'python', 'sql', 'javascript']"
a0161,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0162,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'data structures', 'python']"
a0163,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'sql', 'javascript']"
a0164,"['statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['ai', 'statistics', 'data structures', 'machine learning', 'python', 'javascript']"
a0165,"['ai', 'statistics', 'data structures', 'machine learning', 'python', 'sql', 'javascript']","['statistics', 'python', 'sql']"
